robot_x,robot_y,robot_theta,time_delta,commanded_speed,commanded_angle,calculated_distance,actual_distance,distance_error
0.19103240966795454,-0.13167190551757812,-0.022505581378936657,3.0705807209014893,0.5,0,0.23201481040264485,1.52,1.287985189597355
0.076934814453125,-0.10797119140623579,-0.01286017894744862,2.543428421020508,0.5,0,0.13257731272211992,1.18,1.04742268727788
0.0,0.0,0.0,2.7846195697784424,0.1,0,0.0,0.0,0.0
0.02152252197265625,-0.02769470214845171,-0.0034020543098449707,2.886751651763916,0.25,0,0.035074427709585326,0.0,0.035074427709585326
0.034210205078125,-0.15882110595704546,0.012784242630004883,3.0732364654541016,0.6,0,0.16246378620759283,2.22,2.0575362137924076
0.1868896484375,-1.0621261596679972,0.049233436584472656,2.6423861980438232,0.5,0.39269908169872414,1.0784431926365803,2.1,1.0215568073634198
0.25452423095703125,-0.478759765625,-0.014197707176208496,2.5772202014923096,0.5,0.3141592653589793,0.5422116720668905,1.4,0.8577883279331094
0.0,0.0,0.0,2.6475062370300293,0.5,0.7853981633974483,0.0,1.37,1.37
0.10848236083984375,-0.1881256103515625,0.021065473556518777,2.4309678077697754,0.5,0.7853981633974483,0.21716276817984703,0.90,0.682837231820153
0.11960601806640625,-0.23453521728515625,0.0037450790405273438,2.632859706878662,0.5,0.2617993877991494,0.26327242108640425,1.54,1.276727578913596
